#
# CIE cooling function for Z=10 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
7.860 -22.436 -22.671 -22.711 -24.095 -23.957
7.870 -22.436 -22.667 -22.707 -24.096 -23.960
7.880 -22.436 -22.663 -22.702 -24.097 -23.964
7.890 -22.437 -22.659 -22.697 -24.097 -23.968
7.900 -22.437 -22.654 -22.693 -24.098 -23.973
7.910 -22.437 -22.650 -22.688 -24.098 -23.978
7.920 -22.437 -22.646 -22.683 -24.098 -23.983
7.930 -22.438 -22.642 -22.679 -24.099 -23.988
7.940 -22.438 -22.638 -22.674 -24.099 -23.994
7.950 -22.438 -22.634 -22.669 -24.099 -24.000
7.960 -22.438 -22.630 -22.665 -24.099 -24.007
7.970 -22.439 -22.626 -22.660 -24.099 -24.014
7.980 -22.439 -22.622 -22.655 -24.099 -24.021
7.990 -22.439 -22.618 -22.651 -24.099 -24.029
8.000 -22.440 -22.614 -22.646 -24.099 -24.037
