#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
5.470 -21.350 -23.351 -23.807 -23.682 -24.089 -24.152 -23.280 -23.922 -23.418 -21.452 -22.224 -23.141 -23.911 -23.523 -23.103
5.480 -21.380 -23.355 -23.802 -23.684 -24.111 -24.166 -23.299 -23.956 -23.470 -21.493 -22.213 -23.119 -23.868 -23.566 -23.059
5.490 -21.412 -23.358 -23.798 -23.687 -24.132 -24.179 -23.318 -23.990 -23.520 -21.538 -22.203 -23.098 -23.826 -23.606 -23.016
5.500 -21.445 -23.360 -23.793 -23.689 -24.153 -24.192 -23.337 -24.023 -23.569 -21.586 -22.193 -23.079 -23.784 -23.644 -22.975
5.510 -21.479 -23.363 -23.788 -23.691 -24.174 -24.205 -23.356 -24.056 -23.617 -21.639 -22.183 -23.059 -23.742 -23.680 -22.934
5.520 -21.513 -23.366 -23.784 -23.693 -24.195 -24.218 -23.374 -24.087 -23.664 -21.694 -22.174 -23.041 -23.701 -23.712 -22.896
5.530 -21.546 -23.368 -23.779 -23.696 -24.216 -24.231 -23.393 -24.117 -23.710 -21.751 -22.165 -23.023 -23.661 -23.742 -22.859
5.540 -21.578 -23.370 -23.774 -23.698 -24.237 -24.244 -23.411 -24.147 -23.755 -21.810 -22.156 -23.006 -23.621 -23.769 -22.824
5.550 -21.607 -23.372 -23.770 -23.701 -24.257 -24.257 -23.430 -24.175 -23.799 -21.869 -22.148 -22.989 -23.583 -23.794 -22.790
5.560 -21.633 -23.374 -23.765 -23.704 -24.277 -24.270 -23.448 -24.202 -23.842 -21.929 -22.140 -22.973 -23.546 -23.815 -22.758
5.570 -21.657 -23.376 -23.760 -23.706 -24.297 -24.283 -23.466 -24.227 -23.884 -21.988 -22.132 -22.958 -23.510 -23.834 -22.728
5.580 -21.678 -23.378 -23.756 -23.709 -24.317 -24.296 -23.484 -24.251 -23.925 -22.048 -22.125 -22.943 -23.475 -23.849 -22.700
5.590 -21.696 -23.379 -23.751 -23.712 -24.336 -24.308 -23.501 -24.272 -23.966 -22.106 -22.118 -22.929 -23.441 -23.862 -22.673
5.600 -21.711 -23.381 -23.747 -23.715 -24.355 -24.321 -23.519 -24.292 -24.005 -22.165 -22.112 -22.916 -23.408 -23.872 -22.647
5.610 -21.724 -23.382 -23.742 -23.718 -24.373 -24.334 -23.537 -24.309 -24.044 -22.222 -22.106 -22.903 -23.377 -23.879 -22.623
5.620 -21.735 -23.384 -23.738 -23.721 -24.392 -24.347 -23.554 -24.323 -24.082 -22.278 -22.101 -22.890 -23.347 -23.884 -22.600
