lambda       flux        ferr     
4241.00      7.86603    0.0977271 
4242.00      7.70524    0.0977057 
4243.00      7.93106    0.0974116 
4244.00      7.97966    0.0972133 
4245.00      7.71861    0.0970270 
4246.00      7.93177    0.0969073 
4247.00      8.01947    0.0966937 
4248.00      7.70096    0.0964927 
4249.00      7.74106    0.0963145 
4250.00      7.70803    0.0961295 
4251.00      7.64177    0.0958246 
4252.00      7.65720    0.0957504 
4253.00      7.68366    0.0954181 
4254.00      7.55424    0.0953838 
4255.00      7.54188    0.0952929 
4256.00      7.72876    0.0949551 
4257.00      7.57186    0.0950643 
4258.00      7.63717    0.0948378 
4259.00      7.69278    0.0948395 
4260.00      7.73295    0.0945949 
4261.00      7.68921    0.0945880 
4262.00      7.68531    0.0943665 
4263.00      7.63532    0.0943662 
4264.00      7.60384    0.0941611 
4265.00      7.68784    0.0942563 
4266.00      8.06210    0.0939905 
4267.00      8.09192    0.0942929 
4268.00      8.00513    0.0940509 
4269.00      7.83798    0.0941754 
4270.00      7.96672    0.0941218 
4271.00      8.10233    0.0940915 
4272.00      8.06013    0.0940919 
4273.00      7.91560    0.0941778 
4274.00      7.84630    0.0939654 
4275.00      7.61845    0.0940484 
4276.00      7.36407    0.0939907 
4277.00      7.51648    0.0939251 
4278.00      7.85959    0.0937663 
4279.00      7.85837    0.0936557 
4280.00      7.58797    0.0938210 
4281.00      7.81850    0.0935673 
4282.00      7.84161    0.0935428 
4283.00      7.55687    0.0933950 
4284.00      7.42898    0.0936736 
4285.00      7.95658    0.0932437 
4286.00      8.05206    0.0934522 
4287.00      7.92855    0.0933814 
4288.00      7.88885    0.0932725 
4289.00      7.77443    0.0931645 
4290.00      7.75020    0.0931206 
4291.00      7.77951    0.0930410 
4292.00      7.78929    0.0928783 
4293.00      7.81954    0.0928799 
4294.00      7.74675    0.0928808 
4295.00      7.70419    0.0927883 
4296.00      7.61927    0.0929321 
4297.00      7.61794    0.0929935 
4298.00      7.77762    0.0928803 
4299.00      7.80940    0.0930841 
4300.00      7.90819    0.0930472 
4301.00      7.85833    0.0931125 
4302.00      7.81262    0.0933083 
4303.00      7.88868    0.0933176 
4304.00      7.82270    0.0935301 
4305.00      7.66743    0.0937673 
4306.00      7.82012    0.0939682 
4307.00      7.99497    0.0942559 
4308.00      8.20282    0.0942986 
4309.00      8.19320    0.0945445 
4310.00      8.09455    0.0948293 
4311.00      7.98636    0.0947557 
4312.00      7.75236    0.0949900 
4313.00      7.88389    0.0949435 
4314.00      7.89845    0.0950992 
4315.00      7.99533    0.0949026 
4316.00      7.71240    0.0951199 
4317.00      7.79370    0.0950362 
4318.00      7.92111    0.0950043 
4319.00      7.60627    0.0952105 
4320.00      7.61625    0.0951686 
4321.00      7.60246    0.0954311 
4322.00      7.64007    0.0955242 
4323.00      8.06350    0.0955051 
4324.00      8.08497    0.0955707 
4325.00      8.14617    0.0957424 
4326.00      8.19919    0.0956591 
4327.00      8.13557    0.0957092 
4328.00      8.01975    0.0958285 
4329.00      8.18043    0.0956537 
4330.00      8.25086    0.0954932 
4331.00      7.71803    0.0956884 
4332.00      7.69205    0.0954477 
4333.00      7.81147    0.0955575 
4334.00      7.89283    0.0956072 
4335.00      8.14764    0.0957325 
4336.00      9.19671    0.0966139 
4337.00      14.5310    0.0976810 
4338.00      27.8870    0.0980439 
4339.00      48.8998    0.0981795 
4340.00      73.5423    0.0977345 
4341.00      87.9181    0.0973956 
4342.00      82.6852    0.0977541 
4343.00      62.2446    0.0977040 
4344.00      34.2789    0.0986228 
4345.00      13.9088    0.0994571 
4346.00      9.32659    0.0965857 
4347.00      8.60890    0.0966086 
4348.00      8.15335    0.0967717 
4349.00      8.22772    0.0965969 
4350.00      8.21108    0.0969215 
4351.00      8.43678    0.0969925 
4352.00      8.26728    0.0969052 
4353.00      7.95450    0.0971263 
4354.00      8.28417    0.0968907 
4355.00      8.28361    0.0970462 
