#
# Q1422+2307 (z=3.62) - spectrum from William Keel, Univ. of Alabama
#
# lam is restframe (emitted) wavelength in Angstroms
# flux is arbitrary units
#
 lam            flux
 941.2530       56033.45
 941.3540       53850.28
 941.4550       52619.09
 941.5560       57250.91
 941.6570       57786.41
 941.7580        54440.7
 941.8590        52637.4
 941.9600        57292.1
 942.0610       58651.44
 942.1620       58308.17
 942.2630       57909.98
 942.3640       57498.06
 942.4650       50655.61
 942.5660       34128.45
 942.6670       36206.36
 942.7680       40215.72
 942.8690       36133.13
 942.9700        19482.4
 943.0710       8694.667
 943.1720       8507.015
 943.2730       17697.41
 943.3740       34439.68
 943.4750       31043.63
 943.5760       10635.27
 943.6770       16113.81
 943.7780       31382.32
 943.8790       40568.14
 943.9800       34073.53
 944.0810       10896.15
 944.1820        8397.17
 944.2830       15495.93
 944.3840       14232.71
 944.4850       8223.247
 944.5860       11312.65
 944.6870       19258.13
 944.7880       6062.955
 944.8890       300.6485
 944.9900       21.45812
 945.0910      -408.7697
 945.1920      -367.5777
 945.2930       112.9959
 945.3940      -596.4222
 945.4950       8461.246
 945.5960       34503.76
 945.6970       40806.14
 945.7980       45877.33
 945.8990       46984.94
 946.0000       38494.81
 946.1010       20324.55
 946.2020       7005.794
 946.3030       9513.932
 946.4040       37588.59
 946.5050        54440.7
 946.6060       55086.04
 946.7070       54353.74
 946.8080        53786.2
 946.9090       55314.89
 947.0100       54340.01
 947.1110       48737.89
 947.2120       42783.35
 947.3130       29903.98
 947.4140       28604.15
 947.5150       32801.15
 947.6160       34966.02
 947.7170       38320.88
 947.8180       44563.77
 947.9190       49584.61
