#
# HST STIS spectrum of 3C273 (z=0.158) from William Keel, Univ of Alabama
#
# lam is observed wavelengths in Angstroms
# flux is arbitrary units
#
lam          flux
1158.4229    0.39214
1158.4354    0.39214
1158.4480    0.39214
1158.4606    0.39214
1158.4731    0.37181
1158.4856    0.35995
1158.4982    0.37181
1158.5107    0.37181
1158.5233    0.37181
1158.5359    0.37181
1158.5485    0.36326
1158.5610    0.35995
1158.5736    0.31518
1158.5862    0.31518
1158.5988    0.31518
1158.6113    0.32699
1158.6239    0.32699
1158.6365    0.32699
1158.6490    0.32699
1158.6616    0.32702
1158.6742    0.32699
1158.6868    0.32699
1158.6993    0.32702
1158.7118    0.32723
1158.7244    0.32723
1158.7369    0.32723
1158.7495    0.32723
1158.7621    0.32723
1158.7747    0.33269
1158.7872    0.34925
1158.7998    0.32723
1158.8124    0.32723
1158.8250    0.32420
1158.8375    0.31853
1158.8501    0.31372
1158.8627    0.31853
1158.8752    0.31596
1158.8878    0.31372
1158.9004    0.31431
1158.9130    0.31431
1158.9255    0.31431
1158.9381    0.31596
1158.9507    0.31431
1158.9633    0.31596
1158.9758    0.31596
1158.9884    0.31596
1159.0010    0.31431
1159.0135    0.31431
1159.0261    0.34687
1159.0387    0.36407
1159.0513    0.34687
1159.0638    0.31276
1159.0764    0.31270
1159.0890    0.31124
1159.1016    0.30945
1159.1141    0.30945
1159.1267    0.30945
1159.1393    0.31124
1159.1519    0.30945
1159.1644    0.30945
1159.1770    0.30043
1159.1896    0.30945
1159.2021    0.31124
1159.2147    0.30945
1159.2273    0.30945
1159.2399    0.30626
1159.2524    0.30626
1159.2650    0.32036
1159.2776    0.32036
1159.2902    0.32390
1159.3027    0.32390
1159.3153    0.32698
1159.3279    0.32390
1159.3405    0.30626
1159.3530    0.30307
1159.3656    0.29264
1159.3782    0.29107
1159.3907    0.29264
1159.4033    0.29264
1159.4159    0.29107
1159.4285    0.29107
1159.4410    0.29264
1159.4536    0.29264
1159.4662    0.31280
1159.4788    0.32155
1159.4913    0.33158
1159.5039    0.33612
1159.5165    0.34731
1159.5291    0.33612
1159.5416    0.33612
1159.5542    0.33731
1159.5668    0.33612
1159.5793    0.33344
1159.5919    0.33612
1159.6045    0.33612
1159.6171    0.33612
1159.6296    0.33612
1159.6422    0.33344
1159.6548    0.32676
1159.6674    0.31924
1159.6799    0.32676
1159.6925    0.32676
1159.7051    0.32676
1159.7178    0.32676
1159.7303    0.31924
1159.7429    0.31213
1159.7555    0.28376
1159.7681    0.28376
1159.7806    0.28376
1159.7932    0.28015
1159.8058    0.28767
1159.8184    0.28767
1159.8309    0.28767
1159.8435    0.28767
1159.8561    0.29186
1159.8687    0.29987
1159.8812    0.29987
1159.8938    0.29987
1159.9064    0.32545
1159.9189    0.32545
1159.9315    0.32545
1159.9442    0.32545
1159.9568    0.32545
1159.9694    0.32545
1159.9819    0.32545
1159.9945    0.32166
1160.0071    0.32166
1160.0197    0.33164
1160.0322    0.33164
1160.0448    0.32276
1160.0574    0.33164
1160.0699    0.33449
1160.0825    0.33449
1160.0951    0.33449
1160.1077    0.33164
1160.1204    0.32276
1160.1329    0.32276
1160.1455    0.32276
1160.1581    0.32208
1160.1707    0.32208
1160.1832    0.33449
1160.1958    0.33449
1160.2084    0.32208
1160.2209    0.32208
1160.2335    0.31999
1160.2461    0.31999
1160.2588    0.32208
1160.2714    0.31999
1160.2839    0.34917
1160.2965    0.34917
1160.3091    0.33056
1160.3217    0.33056
1160.3342    0.33056
1160.3468    0.34001
1160.3594    0.33056
1160.3719    0.34001
1160.3846    0.37228
1160.3972    0.34001
1160.4098    0.37228
1160.4224    0.34001
1160.4349    0.34075
1160.4475    0.34075
1160.4601    0.34001
1160.4727    0.34072
1160.4852    0.33952
1160.4979    0.33952
1160.5105    0.33753
1160.5231    0.33753
1160.5356    0.33539
1160.5482    0.33041
1160.5608    0.33539
1160.5734    0.33041
1160.5859    0.33539
1160.5985    0.33539
1160.6112    0.33539
1160.6238    0.32705
1160.6364    0.32705
1160.6489    0.33575
1160.6615    0.33575
1160.6741    0.33575
1160.6866    0.33976
1160.6993    0.36220
1160.7119    0.36220
1160.7245    0.35879
1160.7371    0.35879
1160.7496    0.33976
1160.7622    0.34734
1160.7748    0.34734
1160.7874    0.33976
1160.8000    0.33406
1160.8126    0.33406
1160.8252    0.32627
1160.8378    0.32627
1160.8503    0.32627
1160.8629    0.32627
1160.8756    0.32627
1160.8882    0.32653
1160.9008    0.32653
1160.9133    0.33760
