#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 391  46.93400  44.64527  42.47234  38.47467  28.83591 
 392  46.82307  44.53987  42.37216  38.38489  28.76995 
 393  46.71938  44.44097  42.27884  38.30013  28.70871 
 394  46.61974  44.34636  42.18886  38.22041  28.64978 
 395  46.52526  44.25720  42.10463  38.14315  28.59336 
 396  46.43813  44.17465  42.02618  38.07230  28.54190 
 397  46.35515  44.09535  41.94997  38.00395  28.49140 
 398  46.27850  44.02272  41.88198  37.94206  28.44591 
 399  46.20714  43.95452  41.81746  37.88403  28.40282 
 400  46.14109  43.89191  41.75763  37.82988  28.36212 
 401  46.08036  43.83492  41.70372  37.78095  28.32508 
 402  46.02608  43.78356  41.65453  37.73725  28.29187 
 403  45.97717  43.73671  41.61010  37.69748  28.26128 
 404  45.93365  43.69554  41.57042  37.66032  28.23314 
 405  45.89662  43.66005  41.53673  37.62978  28.20904 
 406  45.86284  43.62797  41.50663  37.60186  28.18634 
 407  45.83558  43.60160  41.48132  37.57925  28.16771 
 408  45.81375  43.58096  41.46203  37.56062  28.15209 
 409  45.79847  43.56604  41.44756  37.54730  28.14054 
 410  45.78646  43.55456  41.43670  37.53665  28.13094 
 411  45.78100  43.54997  41.43066  37.53265  28.12561 
 412  45.77991  43.54882  41.42946  37.52999  28.12206 
 413  45.78428  43.55227  41.43308  37.53265  28.12170 
 414  45.79192  43.56030  41.44032  37.53931  28.12330 
 415  45.80611  43.57293  41.45359  37.54996  28.12952 
 416  45.82467  43.59014  41.46927  37.56461  28.13770 
 417  45.84757  43.61192  41.48976  37.58191  28.14818 
 418  45.87592  43.63829  41.51506  37.60452  28.16203 
 419  45.90861  43.66921  41.54395  37.62978  28.17960 
 420  45.94562  43.70469  41.57764  37.66032  28.19929 
 421  45.98695  43.74471  41.61490  37.69350  28.22269 
 422  46.03368  43.78813  41.65693  37.73195  28.24854 
