#
# Draine & Li IR Dust Emission
# "big" graphitic grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   1.1687    1.00000E-90    1.15812E-22
   1.1740    1.00000E-90    1.15277E-22
   1.1794    1.00000E-90    1.14742E-22
   1.1847    1.00000E-90    1.14207E-22
   1.1902    1.00000E-90    1.13673E-22
   1.1956    1.00000E-90    1.13138E-22
   1.2010    1.00000E-90    1.12605E-22
   1.2065    1.00000E-90    1.12071E-22
   1.2120    1.00000E-90    1.11538E-22
   1.2176    1.00000E-90    1.11006E-22
   1.2231    1.00000E-90    1.10474E-22
   1.2287    1.00000E-90    1.09942E-22
   1.2343    1.00000E-90    1.09410E-22
   1.2400    1.00000E-90    1.08879E-22
   1.2456    1.00000E-90    1.08349E-22
   1.2513    1.00000E-90    1.07819E-22
   1.2570    1.00000E-90    1.07287E-22
   1.2628    1.00000E-90    1.06756E-22
   1.2685    1.00000E-90    1.06226E-22
   1.2743    1.00000E-90    1.05695E-22
   1.2801    1.00000E-90    1.05166E-22
   1.2860    1.00000E-90    1.04636E-22
   1.2918    1.00000E-90    1.04107E-22
   1.2977    1.00000E-90    1.03579E-22
   1.3037    1.00000E-90    1.03051E-22
   1.3096    1.00000E-90    1.02523E-22
   1.3156    1.00000E-90    1.01996E-22
   1.3216    1.00000E-90    1.01470E-22
   1.3276    1.00000E-90    1.00945E-22
   1.3337    1.00000E-90    1.00420E-22
   1.3398    1.00000E-90    9.98960E-23
   1.3459    1.00000E-90    9.93726E-23
   1.3520    1.00000E-90    9.88500E-23
   1.3582    1.00000E-90    9.83279E-23
   1.3644    1.00000E-90    9.78066E-23
   1.3706    1.00000E-90    9.72860E-23
   1.3769    1.00000E-90    9.67662E-23
   1.3832    1.00000E-90    9.62479E-23
   1.3895    1.00000E-90    9.57303E-23
   1.3958    1.00000E-90    9.52135E-23
   1.4022    1.00000E-90    9.46973E-23
   1.4086    1.00000E-90    9.41818E-23
   1.4150    1.00000E-90    9.36670E-23
   1.4215    1.00000E-90    9.31531E-23
   1.4280    1.00000E-90    9.26400E-23
